"geoid","USPS","pop2010"
"15005","HI",90
"06003","CA",1175
"13265","GA",1717
"13239","GA",2513
"13307","GA",2799
"13125","GA",3082
"13061","GA",3183
"06091","CA",3240
"13007","GA",3451
"13101","GA",4034
"36041","NY",4836
"13249","GA",5010
"13301","GA",5834
"13259","GA",6058
"13201","GA",6125
"13037","GA",6694
"13065","GA",6798
"13263","GA",6865
"13283","GA",6885
"13309","GA",7421
"13243","GA",7719
"13181","GA",7996
"13165","GA",8340
"12077","FL",8365
"13003","GA",8375
"13253","GA",8729
"13197","GA",8742
"12067","FL",8870
"13269","GA",8906
"13287","GA",8930
"13289","GA",9023
"13209","GA",9123
"13315","GA",9255
"13273","GA",9315
"13141","GA",9429
"13155","GA",9538
"13319","GA",9563
"06049","CA",9686
"13167","GA",9980
"13173","GA",10078
"13281","GA",10471
"13317","GA",10593
"13043","GA",10998
"13109","GA",11000
"13099","GA",11008
"13005","GA",11096
"13053","GA",11267
"12037","FL",11549
"13149","GA",11834
"13235","GA",12010
"13049","GA",12171
"13079","GA",12630
"12043","FL",12884
"13023","GA",13063
"06105","CA",13786
"13159","GA",13900
"06051","CA",14202
"13191","GA",14333
"13183","GA",14464
"13251","GA",14593
"12013","FL",14625
"13193","GA",14740
"12065","FL",14761
"12047","FL",14799
"13221","GA",14899
"13093","GA",14918
"13161","GA",15068
"12125","FL",15535
"12045","FL",15863
"13133","GA",15994
"13027","GA",16243
"13241","GA",16276
"12029","FL",16422
"13271","GA",16500
"13083","GA",16633
"13163","GA",16930
"12041","FL",16939
"13075","GA",17212
"13017","GA",17634
"13211","GA",17868
"13231","GA",17869
"13001","GA",18236
"06043","CA",18251
"13171","GA",18317
"36097","NY",18343
"13011","GA",18395
"13025","GA",18411
"06027","CA",18546
"13229","GA",18758
"12079","FL",19224
"13019","GA",19286
"12059","FL",19927
"06063","CA",20007
"13105","GA",20166
"13303","GA",21187
"13237","GA",21218
"13291","GA",21356
"06011","CA",21419
"13321","GA",21679
"13091","GA",21796
"13189","GA",21875
"13199","GA",21992
"13119","GA",22084
"13085","GA",22330
"12123","FL",22570
"13107","GA",22598
"13033","GA",23316
"13081","GA",23439
"13205","GA",23498
"13035","GA",23655
"13111","GA",23682
"12133","FL",24896
"13131","GA",25011
"13147","GA",25213
"36123","NY",25348
"13267","GA",25520
"13055","GA",26015
"13257","GA",26175
"13207","GA",26424
"36049","NY",27087
"12003","FL",27115
"13311","GA",27144
"13293","GA",27153
"13279","GA",27223
"13225","GA",27695
"12049","FL",27731
"13087","GA",27842
"13195","GA",28120
"06021","CA",28122
"13123","GA",28292
"13177","GA",28298
"12007","FL",28520
"06015","CA",28610
"13169","GA",28669
"13143","GA",28780
"13227","GA",29431
"13187","GA",29966
"13305","GA",30099
"13029","GA",30233
"12129","FL",30776
"13145","GA",32024
"36095","NY",32749
"13219","GA",32808
"13261","GA",32819
"12027","FL",34862
"06035","CA",34895
"36099","NY",35251
"13299","GA",36312
"06005","CA",38091
"12051","FL",39140
"36031","NY",39370
"13213","GA",39628
"12093","FL",39996
"13277","GA",40118
"12075","FL",40801
"13233","GA",41475
"12121","FL",41551
"36121","NY",42155
"13069","GA",42356
"36073","NY",42883
"13137","GA",43041
"13275","GA",44720
"06093","CA",44900
"13071","GA",45498
"06009","CA",45578
"13009","GA",45720
"12039","FL",46389
"36025","NY",47980
"13175","GA",48434
"36003","NY",48946
"36039","NY",49221
"36023","NY",49336
"12063","FL",49746
"36057","NY",50219
"36017","NY",50477
"13039","GA",50513
"36107","NY",51125
"36033","NY",51599
"13103","GA",52250
"12131","FL",55043
"13129","GA",55186
"06069","CA",55269
"06109","CA",55365
"36035","NY",55531
"36037","NY",60079
"13157","GA",60485
"36077","NY",62259
"36021","NY",63096
"36115","NY",63216
"13179","GA",63453
"06103","CA",63463
"13047","GA",63942
"13255","GA",64073
"36043","NY",64519
"06033","CA",64665
"36051","NY",65393
"36113","NY",65707
"13285","GA",67044
"15007","HI",67091
"12023","FL",67531
"13295","GA",68756
"13013","GA",69367
"13031","GA",70217
"06115","CA",72155
"12087","FL",73090
"12089","FL",73314
"36053","NY",73442
"12107","FL",74364
"36105","NY",77547
"13127","GA",79626
"36011","NY",80026
"36009","NY",80317
"36019","NY",82128
"13297","GA",83768
"13247","GA",85215
"06045","CA",87841
"36015","NY",88830
"12119","FL",93420
"36117","NY",93772
"13095","GA",94565
"06101","CA",94737
"12035","FL",95696
"13115","GA",96317
"06057","CA",98764
"12055","FL",98786
"36101","NY",98990
"36079","NY",99710
"13217","GA",99958
"13015","GA",100157
"36109","NY",101564
"13313","GA",102599
"13113","GA",106567
"36069","NY",107931
"13185","GA",109233
"13045","GA",110527
"36089","NY",111944
"36045","NY",116229
"13059","GA",116714
"36075","NY",122109
"13073","GA",124053
"13077","GA",127317
"13097","GA",132403
"06023","CA",134623
"36013","NY",134905
"06055","CA",136484
"12061","FL",138028
"13153","GA",139900
"12017","FL",141236
"13223","GA",142324
"12085","FL",146318
"06039","CA",150865
"12113","FL",151372
"06031","CA",152982
"36093","NY",154727
"15009","HI",154834
"13021","GA",155547
"36083","NY",159429
"12015","FL",159978
"12005","FL",168852
"12053","FL",172778
"06025","CA",174528
"13117","GA",175511
"06089","CA",177223
"13139","GA",179684
"12091","FL",180822
"06017","CA",181058
"36111","NY",182493
"15001","HI",185079
"13215","GA",189885
"12109","FL",190039
"12019","FL",190865
"13245","GA",200549
"36007","NY",200600
"06113","CA",200849
"13151","GA",203922
"13057","GA",214346
"36063","NY",216469
"36091","NY",219607
"06007","CA",220000
"36065","NY",234878
"12001","FL",247336
"06041","CA",252409
"06047","CA",255793
"13063","GA",259424
"06087","CA",262382
"13051","GA",265128
"12097","FL",268685
"06079","CA",269637
"12073","FL",275487
"12111","FL",277789
"12069","FL",297052
"36027","NY",297488
"12033","FL",297619
"36001","NY",304204
"36087","NY",311687
"12021","FL",321520
"12081","FL",322833
"12083","FL",331298
"06061","CA",348432
"36071","NY",372813
"12115","FL",379448
"06095","CA",413344
"06053","CA",415057
"12117","FL",422718
"06083","CA",423895
"06107","CA",442179
"12101","FL",464697
"36067","NY",467026
"36085","NY",468730
"06097","CA",483878
"12127","FL",494593
"06099","CA",514453
"12009","FL",543376
"12105","FL",602095
"12071","FL",618754
"06077","CA",685306
"13067","GA",688078
"13089","GA",691893
"06081","CA",718451
"36055","NY",744344
"06075","CA",805235
"13135","GA",805321
"06111","CA",823318
"06029","CA",839631
"12031","FL",864263
"12103","FL",916542
"36029","NY",919040
"13121","GA",920581
"06019","CA",930450
"36119","NY",949113
"15003","HI",953207
"06013","CA",1049025
"12095","FL",1145956
"12057","FL",1229226
"12099","FL",1320134
"36059","NY",1339532
"36005","NY",1385108
"06067","CA",1418788
"36103","NY",1493350
"06001","CA",1510271
"36061","NY",1585873
"12011","FL",1748066
"06085","CA",1781642
"06071","CA",2035210
"06065","CA",2189641
"36081","NY",2230722
"12086","FL",2496435
"36047","NY",2504700
"06059","CA",3010232
"06073","CA",3095313
"06037","CA",9818605
